FID,BoroCT2010,Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T002_001,SE_T002_002,SE_T002_006,SE_T02A_001,SE_T02A_002,SE_T02A_003,SE_T003_001,SE_T003_002,SE_T003_003,SE_T004_001,SE_T004_002,SE_T004_003,SE_T004_004,SE_T004_005,SE_T004_006,SE_T004_007,SE_T004_008,SE_T004_009,SE_T004_010,SE_T004_011,SE_T004_012,SE_T004_013,SE_T004_014,SE_T004_015,SE_T004_016,SE_T004_017,SE_T004_018,SE_T004_019,SE_T004_020,SE_T004_021,SE_T004_022,SE_T004_023,SE_T004_024,SE_T004_025,SE_T004_026,SE_T004_027,SE_T004A001,SE_T004A002,SE_T004A003,SE_T004A004,SE_T004A005,SE_T004A006,SE_T004A007,SE_T004A008,SE_T004A009,SE_T004A010,SE_T004A011,SE_T004A012,SE_T004A013,SE_T004A014,SE_T004A015,SE_T004A016,SE_T004A017,SE_T004A018,SE_T004A019,SE_T004A020,SE_T004A021,SE_T004A022,SE_T004A023,SE_T004A024,SE_T004A025,SE_T004B001,SE_T004B002,SE_T004B003,SE_T004B004,SE_T004B005,SE_T004B006,SE_T004B007,SE_T004B008,SE_T004B009,SE_T004B010,SE_T004B011,SE_T004B012,SE_T004B013,SE_T004B014,SE_T004B015,SE_T004B016,SE_T004B017,SE_T004B018,SE_T004B019,SE_T004B020,SE_T004B021,SE_T004B022,SE_T004B023,SE_T004B024,SE_T004B025,SE_T007_001,SE_T007_002,SE_T007_003,SE_T007_004,SE_T007_005,SE_T007_006,SE_T007_007,SE_T007_008,SE_T007_009,SE_T007_010,SE_T007_011,SE_T008_001,SE_T008_002,SE_T008_003,SE_T008_004,SE_T008_005,SE_T008_006,SE_T008_007,SE_T008_008,SE_T008_009,SE_T008_010,SE_T008_011,SE_T008_012,SE_T008_013,SE_T008A001,SE_T008A002,SE_T008A003,SE_T008A004,SE_T008A005,SE_T008A006,SE_T008A007,SE_T008A008,SE_T008A009,SE_T008A010,SE_T008A011,SE_T008A012,SE_T008B001,SE_T008B002,SE_T008B003,SE_T008B004,SE_T008B005,SE_T008B006,SE_T008B007,SE_T008B008,SE_T008B009,SE_T008B010,SE_T008B011,SE_T008B012,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T011_005,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T012_006,SE_T012_007,SE_T012_008,SE_T012_009,SE_T012_010,SE_T012_011,SE_T012_012,SE_T012_013,SE_T012_014,SE_T012_015,SE_T012_016,SE_T012_017,SE_T012_018,SE_T012_019,SE_T012_020,SE_T012_021,SE_T012_022,SE_T012_023,SE_T012_024,SE_T012A001,SE_T012A002,SE_T012A003,SE_T012A004,SE_T012A005,SE_T012A006,SE_T012A007,SE_T012A008,SE_T012A009,SE_T012A010,SE_T012A011,SE_T012A012,SE_T012A013,SE_T012A014,SE_T012A015,SE_T012A016,SE_T012A017,SE_T012A018,SE_T012A019,SE_T012A020,SE_T012A021,SE_T012A022,SE_T012A023,SE_T012B001,SE_T012B002,SE_T012B003,SE_T012B004,SE_T012B005,SE_T012B006,SE_T012B007,SE_T012B008,SE_T012B009,SE_T012B010,SE_T012B011,SE_T012B012,SE_T012B013,SE_T012B014,SE_T012B015,SE_T012B016,SE_T012B017,SE_T012B018,SE_T012B019,SE_T012B020,SE_T012B021,SE_T012B022,SE_T012B023,SE_T015_001,SE_T015_002,SE_T015_003,SE_T015_004,SE_T015_005,SE_T016_001,SE_T016_002,SE_T016_003,SE_T016_004,SE_T016_005,SE_T017_001,SE_T017_002,SE_T017_003,SE_T017_004,SE_T017_005,SE_T017_006,SE_T017_007,SE_T017_008,SE_T017_009,SE_T017_010,SE_T017_011,SE_T017_012,SE_T017_013,SE_T017_014,SE_T017_015,SE_T017_016,SE_T017_017,SE_T017_018,SE_T017_019,SE_T017_020,SE_T017_021,SE_T017_022,SE_T017_023,SE_T017_024,SE_T017A001,SE_T017A002
763,4092800,Census Tract 928,"Census Tract 928, Queens County, New York",36081092800,140,0,36,81,21,,92800,3246,3246,10983.63,0.295530713,0.6458891,0.2955307,0.3503584,3246,1573,1673,3246,1573,76,122,132,77,117,98,167,273,243,157,85,26,1673,94,113,117,72,102,83,216,278,255,175,111,57,3246,1573,76,198,330,407,524,622,789,1062,1305,1462,1547,1673,94,207,324,396,498,581,797,1075,1330,1505,1616,3246,1573,1497,1375,1243,1166,1049,951,784,511,268,111,26,1673,1579,1466,1349,1277,1175,1092,876,598,343,168,57,3246,1573,407,215,683,268,1673,396,185,749,343,3246,170,235,249,149,219,181,383,551,498,332,196,83,3246,170,405,654,803,1022,1203,1586,2137,2635,2967,3163,3246,3076,2841,2592,2443,2224,2043,1660,1109,611,279,83,3246,803,400,1432,611,3246,170,235,249,149,59,35,29,96,110,71,182,201,277,274,259,93,146,91,105,136,105,91,83,3246,170,405,654,803,862,897,926,1022,1132,1203,1385,1586,1863,2137,2396,2489,2635,2726,2831,2967,3072,3163,3246,3076,2841,2592,2443,2384,2349,2320,2224,2114,2043,1861,1660,1383,1109,850,757,611,520,415,279,174,83,1573,407,215,683,268,1673,396,185,749,343,3124,166,226,233,141,55,33,29,92,107,70,173,192,265,258,254,92,142,85,104,131,103,90,83,3124,166
764,4093401,Census Tract 934.01,"Census Tract 934.01, Queens County, New York",36081093401,140,0,36,81,21,,93401,3789,3789,18247.66,0.207643047,0.4098088,0.207643,0.2021658,3789,1933,1856,3789,1933,101,114,109,102,206,174,224,316,304,158,87,38,1856,101,97,97,60,114,184,238,316,267,167,156,59,3789,1933,101,215,324,426,632,806,1030,1346,1650,1808,1895,1856,101,198,295,355,469,653,891,1207,1474,1641,1797,3789,1933,1832,1718,1609,1507,1301,1127,903,587,283,125,38,1856,1755,1658,1561,1501,1387,1203,965,649,382,215,59,3789,1933,426,380,844,283,1856,355,298,821,382,3789,202,211,206,162,320,358,462,632,571,325,243,97,3789,202,413,619,781,1101,1459,1921,2553,3124,3449,3692,3789,3587,3376,3170,3008,2688,2330,1868,1236,665,340,97,3789,781,678,1665,665,3789,202,211,206,162,107,55,32,126,173,185,214,248,297,335,329,127,115,74,99,152,114,129,97,3789,202,413,619,781,888,943,975,1101,1274,1459,1673,1921,2218,2553,2882,3009,3124,3198,3297,3449,3563,3692,3789,3587,3376,3170,3008,2901,2846,2814,2688,2515,2330,2116,1868,1571,1236,907,780,665,591,492,340,226,97,1933,426,380,844,283,1856,355,298,821,382,3608,197,203,195,157,99,53,32,116,164,169,202,234,285,318,317,124,108,65,98,144,107,127,94,3608,197
765,4099801,Census Tract 998.01,"Census Tract 998.01, Queens County, New York",36081099801,140,0,36,81,21,,99801,7608,7608,42952.59,0.177125531,0.1771255,0.1771255,0,7608,3605,4003,7608,3605,299,224,254,152,394,509,501,531,413,202,94,32,4003,280,251,214,171,414,591,575,574,448,273,143,69,7608,3605,299,523,777,929,1323,1832,2333,2864,3277,3479,3573,4003,280,531,745,916,1330,1921,2496,3070,3518,3791,3934,7608,3605,3306,3082,2828,2676,2282,1773,1272,741,328,126,32,4003,3723,3472,3258,3087,2673,2082,1507,933,485,212,69,7608,3605,929,903,1445,328,4003,916,1005,1597,485,7608,579,475,468,323,808,1100,1076,1105,861,475,237,101,7608,579,1054,1522,1845,2653,3753,4829,5934,6795,7270,7507,7608,7029,6554,6086,5763,4955,3855,2779,1674,813,338,101,7608,1845,1908,3042,813,7608,579,475,468,323,241,108,118,341,565,535,545,531,563,542,459,173,229,111,153,211,140,97,101,7608,579,1054,1522,1845,2086,2194,2312,2653,3218,3753,4298,4829,5392,5934,6393,6566,6795,6906,7059,7270,7410,7507,7608,7029,6554,6086,5763,5522,5414,5296,4955,4390,3855,3310,2779,2216,1674,1215,1042,813,702,549,338,198,101,3605,929,903,1445,328,4003,916,1005,1597,485,1075,68,42,40,34,25,9,6,35,87,60,56,60,68,58,69,25,48,12,36,65,52,46,74,1075,68
766,4102900,Census Tract 1029,"Census Tract 1029, Queens County, New York",36081102900,140,0,36,81,21,,102900,3319,3319,17231.46,0.192612862,0.1926129,0.1926129,0,3319,1566,1753,3319,1566,98,93,79,45,116,219,203,258,148,141,112,54,1753,92,64,78,65,122,223,221,230,202,175,158,123,3319,1566,98,191,270,315,431,650,853,1111,1259,1400,1512,1753,92,156,234,299,421,644,865,1095,1297,1472,1630,3319,1566,1468,1375,1296,1251,1135,916,713,455,307,166,54,1753,1661,1597,1519,1454,1332,1109,888,658,456,281,123,3319,1566,315,335,609,307,1753,299,345,653,456,3319,190,157,157,110,238,442,424,488,350,316,270,177,3319,190,347,504,614,852,1294,1718,2206,2556,2872,3142,3319,3129,2972,2815,2705,2467,2025,1601,1113,763,447,177,3319,614,680,1262,763,3319,190,157,157,110,63,33,42,100,196,246,195,229,257,231,172,74,104,71,97,148,129,141,177,3319,190,347,504,614,677,710,752,852,1048,1294,1489,1718,1975,2206,2378,2452,2556,2627,2724,2872,3001,3142,3319,3129,2972,2815,2705,2642,2609,2567,2467,2271,2025,1830,1601,1344,1113,941,867,763,692,595,447,318,177,1566,315,335,609,307,1753,299,345,653,456,2426,123,106,96,61,42,20,24,70,127,182,139,172,175,154,124,52,84,58,82,126,113,131,165,2426,123
767,4103300,Census Tract 1033,"Census Tract 1033, Queens County, New York",36081103300,140,0,36,81,21,,103300,4116,4116,17590.01,0.233996451,0.2339965,0.2339965,0,4116,1993,2123,4116,1993,127,135,108,85,156,230,299,300,218,178,111,46,2123,119,112,138,60,142,273,323,309,268,182,123,74,4116,1993,127,262,370,455,611,841,1140,1440,1658,1836,1947,2123,119,231,369,429,571,844,1167,1476,1744,1926,2049,4116,1993,1866,1731,1623,1538,1382,1152,853,553,335,157,46,2123,2004,1892,1754,1694,1552,1279,956,647,379,197,74,4116,1993,455,386,817,335,2123,429,415,900,379,4116,246,247,246,145,298,503,622,609,486,360,234,120,4116,246,493,739,884,1182,1685,2307,2916,3402,3762,3996,4116,3870,3623,3377,3232,2934,2431,1809,1200,714,354,120,4116,884,801,1717,714,4116,246,247,246,145,81,40,31,146,244,259,309,313,340,269,267,87,132,71,111,178,120,114,120,4116,246,493,739,884,965,1005,1036,1182,1426,1685,1994,2307,2647,2916,3183,3270,3402,3473,3584,3762,3882,3996,4116,3870,3623,3377,3232,3151,3111,3080,2934,2690,2431,2122,1809,1469,1200,933,846,714,643,532,354,234,120,1993,455,386,817,335,2123,429,415,900,379,3234,188,198,185,113,63,29,26,108,176,185,232,252,250,207,197,66,106,64,92,158,114,110,115,3234,188
768,4103900,Census Tract 1039,"Census Tract 1039, Queens County, New York",36081103900,140,0,36,81,21,,103900,6151,6151,18208.14,0.337815851,0.3378159,0.3378159,0,6151,3030,3121,6151,3030,171,187,182,119,244,364,434,472,412,265,137,43,3121,151,160,156,111,244,410,458,484,454,250,172,71,6151,3030,171,358,540,659,903,1267,1701,2173,2585,2850,2987,3121,151,311,467,578,822,1232,1690,2174,2628,2878,3050,6151,3030,2859,2672,2490,2371,2127,1763,1329,857,445,180,43,3121,2970,2810,2654,2543,2299,1889,1431,947,493,243,71,6151,3030,659,608,1318,445,3121,578,654,1396,493,6151,322,347,338,230,488,774,892,956,866,515,309,114,6151,322,669,1007,1237,1725,2499,3391,4347,5213,5728,6037,6151,5829,5482,5144,4914,4426,3652,2760,1804,938,423,114,6151,1237,1262,2714,938,6151,322,347,338,230,124,68,72,224,379,395,432,460,496,460,466,168,232,113,168,234,165,144,114,6151,322,669,1007,1237,1361,1429,1501,1725,2104,2499,2931,3391,3887,4347,4813,4981,5213,5326,5494,5728,5893,6037,6151,5829,5482,5144,4914,4790,4722,4650,4426,4047,3652,3220,2760,2264,1804,1338,1170,938,825,657,423,258,114,3030,659,608,1318,445,3121,578,654,1396,493,4117,202,218,204,134,84,46,45,149,219,221,255,315,299,306,315,130,172,91,133,204,146,128,101,4117,202
769,4105900,Census Tract 1059,"Census Tract 1059, Queens County, New York",36081105900,140,0,36,81,21,,105900,3556,3556,14177.95,0.250811973,0.250812,0.250812,0,3556,1689,1867,3556,1689,74,103,91,58,115,197,221,242,223,190,134,41,1867,107,102,101,44,104,190,264,241,262,222,148,82,3556,1689,74,177,268,326,441,638,859,1101,1324,1514,1648,1867,107,209,310,354,458,648,912,1153,1415,1637,1785,3556,1689,1615,1512,1421,1363,1248,1051,830,588,365,175,41,1867,1760,1658,1557,1513,1409,1219,955,714,452,230,82,3556,1689,326,312,686,365,1867,354,294,767,452,3556,181,205,192,102,219,387,485,483,485,412,282,123,3556,181,386,578,680,899,1286,1771,2254,2739,3151,3433,3556,3375,3170,2978,2876,2657,2270,1785,1302,817,405,123,3556,680,606,1453,817,3556,181,205,192,102,74,27,17,101,166,221,216,269,233,250,234,107,144,76,137,199,154,128,123,3556,181,386,578,680,754,781,798,899,1065,1286,1502,1771,2004,2254,2488,2595,2739,2815,2952,3151,3305,3433,3556,3375,3170,2978,2876,2802,2775,2758,2657,2491,2270,2054,1785,1552,1302,1068,961,817,741,604,405,251,123,1689,326,312,686,365,1867,354,294,767,452,2463,103,144,134,68,43,17,10,59,97,134,122,190,167,172,164,66,111,66,87,163,126,109,111,2463,103
770,4112300,Census Tract 1123,"Census Tract 1123, Queens County, New York",36081112300,140,0,36,81,21,,112300,2102,2102,19494.03,0.107827913,0.1078279,0.1078279,0,2102,1029,1073,2102,1029,73,64,56,33,93,191,159,162,121,34,35,8,1073,41,48,52,46,82,202,163,180,124,51,64,20,2102,1029,73,137,193,226,319,510,669,831,952,986,1021,1073,41,89,141,187,269,471,634,814,938,989,1053,2102,1029,956,892,836,803,710,519,360,198,77,43,8,1073,1032,984,932,886,804,602,439,259,135,84,20,2102,1029,226,284,442,77,1073,187,284,467,135,2102,114,112,108,79,175,393,322,342,245,85,99,28,2102,114,226,334,413,588,981,1303,1645,1890,1975,2074,2102,1988,1876,1768,1689,1514,1121,799,457,212,127,28,2102,413,568,909,212,2102,114,112,108,79,49,13,24,89,211,182,171,151,188,154,151,37,57,22,27,36,47,52,28,2102,114,226,334,413,462,475,499,588,799,981,1152,1303,1491,1645,1796,1833,1890,1912,1939,1975,2022,2074,2102,1988,1876,1768,1689,1640,1627,1603,1514,1303,1121,950,799,611,457,306,269,212,190,163,127,80,28,1029,226,284,442,77,1073,187,284,467,135,1017,38,41,45,25,12,1,9,45,122,104,79,75,77,70,86,24,28,14,14,16,31,35,26,1017,38
771,4113900,Census Tract 1139,"Census Tract 1139, Queens County, New York",36081113900,140,0,36,81,21,,113900,3322,3322,22376.55,0.148458989,0.148459,0.148459,0,3322,1600,1722,3322,1600,81,73,81,47,108,246,272,262,220,132,57,21,1722,66,70,69,43,130,270,259,286,237,146,95,51,3322,1600,81,154,235,282,390,636,908,1170,1390,1522,1579,1722,66,136,205,248,378,648,907,1193,1430,1576,1671,3322,1600,1519,1446,1365,1318,1210,964,692,430,210,78,21,1722,1656,1586,1517,1474,1344,1074,815,529,292,146,51,3322,1600,282,354,754,210,1722,248,400,782,292,3322,147,143,150,90,238,516,531,548,457,278,152,72,3322,147,290,440,530,768,1284,1815,2363,2820,3098,3250,3322,3175,3032,2882,2792,2554,2038,1507,959,502,224,72,3322,530,754,1536,502,3322,147,143,150,90,55,36,30,117,256,260,279,252,273,275,263,87,107,66,97,115,78,74,72,3322,147,290,440,530,585,621,651,768,1024,1284,1563,1815,2088,2363,2626,2713,2820,2886,2983,3098,3176,3250,3322,3175,3032,2882,2792,2737,2701,2671,2554,2298,2038,1759,1507,1234,959,696,609,502,436,339,224,146,72,1600,282,354,754,210,1722,248,400,782,292,1982,83,66,83,41,23,20,16,65,153,152,147,141,165,160,164,54,65,47,68,79,63,66,61,1982,83
772,4114700,Census Tract 1147,"Census Tract 1147, Queens County, New York",36081114700,140,0,36,81,21,,114700,1673,1673,14048.37,0.119088583,0.1190886,0.1190886,0,1673,775,898,1673,775,39,43,36,22,57,98,106,123,121,65,53,12,898,45,37,38,22,62,108,108,139,154,92,60,33,1673,775,39,82,118,140,197,295,401,524,645,710,763,898,45,82,120,142,204,312,420,559,713,805,865,1673,775,736,693,657,635,578,480,374,251,130,65,12,898,853,816,778,756,694,586,478,339,185,93,33,1673,775,140,155,350,130,898,142,170,401,185,1673,84,80,74,44,119,206,214,262,275,157,113,45,1673,84,164,238,282,401,607,821,1083,1358,1515,1628,1673,1589,1509,1435,1391,1272,1066,852,590,315,158,45,1673,282,325,751,315,1673,84,80,74,44,33,16,14,56,105,101,105,109,81,181,140,55,80,35,47,75,67,46,45,1673,84,164,238,282,315,331,345,401,506,607,712,821,902,1083,1223,1278,1358,1393,1440,1515,1582,1628,1673,1589,1509,1435,1391,1358,1342,1328,1272,1167,1066,961,852,771,590,450,395,315,280,233,158,91,45,775,140,155,350,130,898,142,170,401,185,1118,49,50,48,28,24,9,10,36,58,46,56,73,56,128,94,31,61,28,34,61,57,38,43,1118,49
773,4115500,Census Tract 1155,"Census Tract 1155, Queens County, New York",36081115500,140,0,36,81,21,,115500,2114,2114,29223.85,0.072338173,0.07233817,0.07233817,0,2114,1057,1057,2114,1057,58,50,48,42,113,173,151,166,148,75,26,7,1057,56,58,54,32,104,180,141,174,121,72,41,24,2114,1057,58,108,156,198,311,484,635,801,949,1024,1050,1057,56,114,168,200,304,484,625,799,920,992,1033,2114,1057,999,949,901,859,746,573,422,256,108,33,7,1057,1001,943,889,857,753,573,432,258,137,65,24,2114,1057,198,286,465,108,1057,200,284,436,137,2114,114,108,102,74,217,353,292,340,269,147,67,31,2114,114,222,324,398,615,968,1260,1600,1869,2016,2083,2114,2000,1892,1790,1716,1499,1146,854,514,245,98,31,2114,398,570,901,245,2114,114,108,102,74,49,28,44,96,174,179,153,139,160,180,138,63,68,37,44,66,31,36,31,2114,114,222,324,398,447,475,519,615,789,968,1121,1260,1420,1600,1738,1801,1869,1906,1950,2016,2047,2083,2114,2000,1892,1790,1716,1667,1639,1595,1499,1325,1146,993,854,694,514,376,313,245,208,164,98,67,31,1057,198,286,465,108,1057,200,284,436,137,918,52,51,51,31,21,15,14,47,72,56,43,53,64,79,62,31,33,14,21,36,19,29,24,918,52
774,4115700,Census Tract 1157,"Census Tract 1157, Queens County, New York",36081115700,140,0,36,81,21,,115700,3388,3388,27949.93,0.121216778,0.1212168,0.1212168,0,3388,1637,1751,3388,1637,75,72,69,55,142,264,241,257,222,155,67,18,1751,80,68,56,45,147,279,216,304,261,160,100,35,3388,1637,75,147,216,271,413,677,918,1175,1397,1552,1619,1751,80,148,204,249,396,675,891,1195,1456,1616,1716,3388,1637,1562,1490,1421,1366,1224,960,719,462,240,85,18,1751,1671,1603,1547,1502,1355,1076,860,556,295,135,35,3388,1637,271,406,720,240,1751,249,426,781,295,3388,155,140,125,100,289,543,457,561,483,315,167,53,3388,155,295,420,520,809,1352,1809,2370,2853,3168,3335,3388,3233,3093,2968,2868,2579,2036,1579,1018,535,220,53,3388,520,832,1501,535,3388,155,140,125,100,56,33,47,153,284,259,215,242,264,297,237,120,126,85,109,121,104,63,53,3388,155,295,420,520,576,609,656,809,1093,1352,1567,1809,2073,2370,2607,2727,2853,2938,3047,3168,3272,3335,3388,3233,3093,2968,2868,2812,2779,2732,2579,2295,2036,1821,1579,1315,1018,781,661,535,450,341,220,116,53,1637,271,406,720,240,1751,249,426,781,295,892,34,21,29,26,14,8,10,29,40,52,35,53,71,69,76,41,42,32,32,50,53,39,36,892,34
775,4116100,Census Tract 1161,"Census Tract 1161, Queens County, New York",36081116100,140,0,36,81,21,,116100,4589,4589,66612.42,0.068891053,0.06889106,0.06889106,0,4589,1998,2591,4589,1998,87,88,77,52,167,309,260,340,251,164,108,95,2591,112,67,68,62,188,368,354,398,312,221,199,242,4589,1998,87,175,252,304,471,780,1040,1380,1631,1795,1903,2591,112,179,247,309,497,865,1219,1617,1929,2150,2349,4589,1998,1911,1823,1746,1694,1527,1218,958,618,367,203,95,2591,2479,2412,2344,2282,2094,1726,1372,974,662,441,242,4589,1998,304,476,851,367,2591,309,556,1064,662,4589,199,155,145,114,355,677,614,738,563,385,307,337,4589,199,354,499,613,968,1645,2259,2997,3560,3945,4252,4589,4390,4235,4090,3976,3621,2944,2330,1592,1029,644,337,4589,613,1032,1915,1029,4589,199,155,145,114,83,56,55,161,348,329,332,282,357,381,315,99,149,90,131,164,153,154,337,4589,199,354,499,613,696,752,807,968,1316,1645,1977,2259,2616,2997,3312,3411,3560,3650,3781,3945,4098,4252,4589,4390,4235,4090,3976,3893,3837,3782,3621,3273,2944,2612,2330,1973,1592,1277,1178,1029,939,808,644,491,337,1998,304,476,851,367,2591,309,556,1064,662,827,30,23,20,22,13,4,10,29,43,37,22,32,51,61,58,16,30,27,27,47,52,66,107,827,30
776,4116700,Census Tract 1167,"Census Tract 1167, Queens County, New York",36081116700,140,0,36,81,21,,116700,2067,2067,32229.06,0.06413466,0.06413466,0.06413466,0,2067,1028,1039,2067,1028,56,51,67,43,100,173,175,177,123,38,21,4,1039,55,60,52,34,108,146,176,186,129,57,23,13,2067,1028,56,107,174,217,317,490,665,842,965,1003,1024,1039,55,115,167,201,309,455,631,817,946,1003,1026,2067,1028,972,921,854,811,711,538,363,186,63,25,4,1039,984,924,872,838,730,584,408,222,93,36,13,2067,1028,217,273,475,63,1039,201,254,491,93,2067,111,111,119,77,208,319,351,363,252,95,44,17,2067,111,222,341,418,626,945,1296,1659,1911,2006,2050,2067,1956,1845,1726,1649,1441,1122,771,408,156,61,17,2067,418,527,966,156,2067,111,111,119,77,45,27,34,102,175,144,163,188,169,194,159,45,48,21,33,41,27,17,17,2067,111,222,341,418,463,490,524,626,801,945,1108,1296,1465,1659,1818,1863,1911,1932,1965,2006,2033,2050,2067,1956,1845,1726,1649,1604,1577,1543,1441,1266,1122,959,771,602,408,249,204,156,135,102,61,34,17,1028,217,273,475,63,1039,201,254,491,93,380,24,21,16,18,8,4,5,12,38,26,25,30,31,31,32,7,7,4,7,14,8,3,9,380,24
777,4117500,Census Tract 1175,"Census Tract 1175, Queens County, New York",36081117500,140,0,36,81,21,,117500,4990,4990,23008.84,0.216873206,0.2168732,0.2168732,0,4990,2429,2561,4990,2429,154,112,130,67,189,396,382,354,309,190,103,43,2561,119,105,94,84,187,442,387,384,351,220,129,59,4990,2429,154,266,396,463,652,1048,1430,1784,2093,2283,2386,2561,119,224,318,402,589,1031,1418,1802,2153,2373,2502,4990,2429,2275,2163,2033,1966,1777,1381,999,645,336,146,43,2561,2442,2337,2243,2159,1972,1530,1143,759,408,188,59,4990,2429,463,585,1045,336,2561,402,629,1122,408,4990,273,217,224,151,376,838,769,738,660,410,232,102,4990,273,490,714,865,1241,2079,2848,3586,4246,4656,4888,4990,4717,4500,4276,4125,3749,2911,2142,1404,744,334,102,4990,865,1214,2167,744,4990,273,217,224,151,109,48,54,165,398,440,393,376,382,356,352,120,188,103,129,178,142,90,102,4990,273,490,714,865,974,1022,1076,1241,1639,2079,2472,2848,3230,3586,3938,4058,4246,4349,4478,4656,4798,4888,4990,4717,4500,4276,4125,4016,3968,3914,3749,3351,2911,2518,2142,1760,1404,1052,932,744,641,512,334,192,102,2429,463,585,1045,336,2561,402,629,1122,408,2109,95,80,61,54,44,22,22,56,144,162,163,131,158,129,177,57,90,55,69,104,93,65,78,2109,95
778,4118100,Census Tract 1181,"Census Tract 1181, Queens County, New York",36081118100,140,0,36,81,21,,118100,1840,1840,24410.7,0.075376797,0.07537679,0.07537679,0,1840,889,951,1840,889,51,59,58,26,64,154,133,127,117,57,32,11,951,56,35,38,31,89,180,134,147,123,61,45,12,1840,889,51,110,168,194,258,412,545,672,789,846,878,951,56,91,129,160,249,429,563,710,833,894,939,1840,889,838,779,721,695,631,477,344,217,100,43,11,951,895,860,822,791,702,522,388,241,118,57,12,1840,889,194,218,377,100,951,160,269,404,118,1840,107,94,96,57,153,334,267,274,240,118,77,23,1840,107,201,297,354,507,841,1108,1382,1622,1740,1817,1840,1733,1639,1543,1486,1333,999,732,458,218,100,23,1840,354,487,781,218,1840,107,94,96,57,40,19,22,72,149,185,139,128,133,141,147,42,51,27,33,58,44,33,23,1840,107,201,297,354,394,413,435,507,656,841,980,1108,1241,1382,1529,1571,1622,1649,1682,1740,1784,1817,1840,1733,1639,1543,1486,1446,1427,1405,1333,1184,999,860,732,599,458,311,269,218,191,158,100,56,23,889,194,218,377,100,951,160,269,404,118,976,54,48,38,22,16,8,8,29,85,90,75,56,57,57,95,32,35,24,23,47,30,25,22,976,54
779,4118500,Census Tract 1185,"Census Tract 1185, Queens County, New York",36081118500,140,0,36,81,21,,118500,2114,2114,35290.63,0.059902594,0.05990259,0.05990259,0,2114,1013,1101,2114,1013,57,59,40,21,127,190,158,171,109,48,23,10,1101,59,42,69,39,115,198,154,196,115,65,36,13,2114,1013,57,116,156,177,304,494,652,823,932,980,1003,1101,59,101,170,209,324,522,676,872,987,1052,1088,2114,1013,956,897,857,836,709,519,361,190,81,33,10,1101,1042,1000,931,892,777,579,425,229,114,49,13,2114,1013,177,317,438,81,1101,209,313,465,114,2114,116,101,109,60,242,388,312,367,224,113,59,23,2114,116,217,326,386,628,1016,1328,1695,1919,2032,2091,2114,1998,1897,1788,1728,1486,1098,786,419,195,82,23,2114,386,630,903,195,2114,116,101,109,60,76,30,32,104,182,206,167,145,181,186,112,40,72,24,46,43,34,25,23,2114,116,217,326,386,462,492,524,628,810,1016,1183,1328,1509,1695,1807,1847,1919,1943,1989,2032,2066,2091,2114,1998,1897,1788,1728,1652,1622,1590,1486,1304,1098,931,786,605,419,307,267,195,171,125,82,48,23,1013,177,317,438,81,1101,209,313,465,114,615,31,31,30,19,17,7,6,24,65,50,31,32,61,53,28,15,23,12,17,22,18,10,13,615,31
780,4118700,Census Tract 1187,"Census Tract 1187, Queens County, New York",36081118700,140,0,36,81,21,,118700,2521,2521,34872.54,0.072291841,0.07229184,0.07229184,0,2521,1244,1277,2521,1244,72,66,59,43,137,199,199,199,140,82,36,12,1277,61,65,60,32,139,209,192,202,164,86,45,22,2521,1244,72,138,197,240,377,576,775,974,1114,1196,1232,1277,61,126,186,218,357,566,758,960,1124,1210,1255,2521,1244,1172,1106,1047,1004,867,668,469,270,130,48,12,1277,1216,1151,1091,1059,920,711,519,317,153,67,22,2521,1244,240,336,538,130,1277,218,348,558,153,2521,133,131,119,75,276,408,391,401,304,168,81,34,2521,133,264,383,458,734,1142,1533,1934,2238,2406,2487,2521,2388,2257,2138,2063,1787,1379,988,587,283,115,34,2521,458,684,1096,283,2521,133,131,119,75,56,34,45,141,214,194,198,193,174,227,164,61,79,47,49,72,31,50,34,2521,133,264,383,458,514,548,593,734,948,1142,1340,1533,1707,1934,2098,2159,2238,2285,2334,2406,2437,2487,2521,2388,2257,2138,2063,2007,1973,1928,1787,1573,1379,1181,988,814,587,423,362,283,236,187,115,84,34,1244,240,336,538,130,1277,218,348,558,153,578,30,20,25,13,9,4,4,28,37,33,44,36,30,38,46,17,26,15,15,40,14,30,24,578,30
